Battery Voltage,Battery Current,Battery Power
21.359,5,108.21
21.343,5,108.21
21.343,5,108.21
21.343,5,108.21
21.343,5,108.21
21.343,5,108.21
21.326,5,108.12
21.326,5,108.12
21.326,5,108.12
21.326,5,108.12
21.326,5,108.12
21.326,5,108.12
21.326,5,108.04
21.309,5,108.04
21.309,5,108.04
21.309,5,108.04
21.309,5,108.04
21.309,5,108.04
21.309,5,108.04
21.309,5,108.04
21.309,5,108.04
21.293,5,107.96
21.293,5,107.96
21.293,5,107.96
21.293,5,107.96
21.293,5,107.96
21.293,5,107.96
21.293,5,107.96
21.293,5,107.96
21.293,5,107.96
21.293,5,107.87
21.276,5,107.87
21.276,5,107.87
21.276,5,107.87
21.276,5,107.87
21.276,5,107.87
21.276,5,107.87
21.276,5,107.87
21.276,5,107.87
21.276,5,107.87
21.26,5,107.79
21.26,5,107.79
21.26,5,107.79
21.26,5,107.79
21.26,5,107.79
21.26,5,107.79
21.26,5,107.79
21.26,5,107.79
21.26,5,107.79
21.26,5,107.79
21.243,5,107.7
21.243,5,107.7
21.243,5,107.7
21.243,5,107.7
21.243,5,107.7
21.243,5,107.7
21.243,5,107.7
21.243,5,107.7
21.243,5,107.7
21.243,5,107.7
21.243,5,107.7
21.243,5,107.62
21.226,5,107.62
21.226,5,107.62
21.226,5,107.62
21.226,5,107.62
21.226,5,107.62
21.226,5,107.62
21.226,5,107.62
21.226,5,107.62
21.226,5,107.62
21.226,5,107.62
21.226,5,107.54
21.21,5,107.54
21.21,5,107.54
21.21,5,107.54
21.21,5,107.54
21.21,5,107.54
21.21,5,107.54
21.21,5,107.54
21.21,5,107.54
21.21,5,107.54
21.21,5,107.54
21.21,5,107.54
21.21,5,107.45
21.193,5,107.45
21.193,5,107.45
21.193,5,107.45
21.193,5,107.45
21.193,5,107.45
21.193,5,107.45
21.193,5,107.45
21.193,5,107.45
21.193,5,107.45
21.193,5,107.45
21.193,5,107.45
21.193,5,107.45
21.177,5,107.37
21.177,5,107.37
21.177,5,107.37
21.177,5,107.37
21.177,5,107.37
21.177,5,107.37
21.177,5,107.37
21.177,5,107.37
21.177,5,107.37
21.177,5,107.37
21.177,5,107.37
21.177,5,107.37
21.177,5,107.37
21.16,5,107.28
21.16,5,107.28
21.16,5,107.28
21.16,5,107.28
21.16,5,107.28
21.16,5,107.28
21.16,5,107.28
21.16,5,107.28
21.16,5,107.28
21.16,5,107.28
21.16,5,107.28
21.16,5,107.28
21.16,5,107.2
21.144,5,107.2
21.144,5,107.2
21.144,5,107.2
21.144,5,107.2
21.144,5,107.2
21.144,5,107.2
21.144,5,107.2
21.144,5,107.2
21.144,5,107.2
21.144,5,107.2
21.144,5,107.2
21.144,5,107.2
21.144,5,107.11
21.127,5,107.11
21.127,5,107.11
21.127,5,107.11
21.127,5,107.11
21.127,5,107.11
21.127,5,107.11
21.127,5,107.11
21.127,5,107.11
21.127,5,107.11
21.127,5,107.11
21.127,5,107.11
21.127,5,107.11
21.11,5,107.03
21.11,5,107.03
21.11,5,107.03
21.11,5,107.03
21.11,5,107.03
21.11,5,107.03
21.11,5,107.03
21.11,5,107.03
21.11,5,107.03
21.11,5,107.03
21.11,5,107.03
21.11,5,107.03
21.11,5,106.95
21.094,5,106.95
